doc_id,chars,sp_tokens,custom_tokens,delta_sp_minus_custom
10539,346,149,156,-7
10540,1215,486,504,-18
10541,2361,888,920,-32
10542,6234,2341,2428,-87
10543,334,148,152,-4
10544,4924,2044,2084,-40
10545,3092,1293,1318,-25
10546,1753,692,728,-36
10547,4380,1822,1848,-26
10548,821,334,335,-1
10549,427,152,160,-8
10550,6471,2441,2541,-100
10551,2702,1042,1074,-32
10552,4562,1849,1897,-48
10553,966,420,432,-12
10554,18356,7410,7572,-162
10555,11776,4600,4753,-153
10556,639,262,268,-6
10557,1824,766,789,-23
10558,4930,1785,1908,-123
10559,1978,876,885,-9
10560,27293,10850,11127,-277
10561,2278,945,968,-23
10562,3578,1448,1497,-49
10563,10292,4043,4132,-89
10564,2626,1199,1226,-27
10565,221,104,109,-5
10566,1015,397,408,-11
10567,1488,587,596,-9
10568,369,142,145,-3
10569,4021,1733,1779,-46
10570,3332,1192,1248,-56
10571,1071,411,427,-16
10572,649,298,316,-18
10573,1944,810,819,-9
10574,6699,2593,2673,-80
10575,2557,1088,1122,-34
10576,2688,1075,1105,-30
10577,11906,4725,4848,-123
10578,560,282,289,-7
10579,1954,808,819,-11
10580,937,355,373,-18
10581,1127,479,500,-21
10582,856,331,333,-2
10583,983,485,503,-18
10584,903,408,412,-4
10585,791,290,301,-11
10586,2692,1159,1187,-28
10587,11146,4055,4338,-283
10588,4551,1735,1967,-232
10589,8292,3613,3827,-214
10590,799,379,383,-4
10591,426,177,179,-2
10592,1917,918,943,-25
10593,5945,2380,2430,-50
10594,378,185,187,-2
10595,11666,5047,5176,-129
10596,431,184,185,-1
10597,2642,1115,1144,-29
10598,4769,2035,2070,-35
10599,344,144,147,-3
10600,3400,1251,1294,-43
10601,1507,553,561,-8
10602,5326,2074,2163,-89
10603,2673,1039,1075,-36
10604,2050,884,922,-38
10605,3024,1315,1340,-25
10606,332,134,143,-9
10607,3870,1517,1536,-19
10608,4366,1864,1904,-40
10609,41030,17674,17963,-289
10610,990,368,395,-27
10611,1723,672,700,-28
10612,1478,624,644,-20
10613,3039,1281,1312,-31
10614,1096,476,483,-7
10615,507,233,254,-21
10616,2907,1118,1140,-22
10617,552,251,270,-19
10618,3447,1534,1580,-46
10619,517,229,229,0
10620,943,421,444,-23
10621,2032,841,876,-35
10622,6416,2778,2817,-39
10623,747,419,425,-6
10624,1898,781,784,-3
10625,941,394,404,-10
10626,861,347,365,-18
10627,383,171,174,-3
10628,740,337,352,-15
10629,2970,1155,1191,-36
10630,3309,1370,1408,-38
10631,1976,942,977,-35
10632,1610,693,718,-25
10633,1255,456,475,-19
10634,343,166,173,-7
10635,867,405,407,-2
10636,1616,629,646,-17
10637,22616,8699,8921,-222
10638,822,323,328,-5
10639,865,336,353,-17
10640,3119,1264,1283,-19
10641,3272,1360,1425,-65
10642,912,348,357,-9
10643,1215,479,488,-9
10644,1992,1111,1136,-25
10645,799,377,378,-1
10646,666,283,287,-4
10647,2040,802,814,-12
10648,2250,920,947,-27
10649,2779,1077,1110,-33
10650,675,274,293,-19
10651,550,268,275,-7
10652,2563,1042,1064,-22
10653,3365,1385,1436,-51
10654,891,386,399,-13
10655,1628,681,705,-24
10656,8127,3965,4025,-60
10657,2191,960,972,-12
10658,4693,1830,1860,-30
10659,1625,635,642,-7
10660,606,233,247,-14
10661,2425,964,1008,-44
10662,1637,678,692,-14
10663,614,261,269,-8
10664,2490,1032,1082,-50
10665,4191,1831,1863,-32
10666,893,359,376,-17
10667,1500,588,610,-22
10668,645,299,316,-17
10669,946,395,399,-4
10670,3009,1167,1201,-34
10671,2764,1155,1219,-64
10672,1941,780,796,-16
10673,2560,1213,1237,-24
10674,1851,758,787,-29
10675,3722,1406,1455,-49
10676,1480,597,612,-15
10677,374,170,172,-2
10678,2069,805,834,-29
10679,1799,796,812,-16
10680,4479,1933,1966,-33
10681,3289,1244,1285,-41
10682,1976,724,763,-39
10683,1512,577,599,-22
10684,3474,1288,1341,-53
10685,1889,760,793,-33
10686,1240,472,481,-9
10687,8222,3075,3110,-35
10688,2711,1088,1117,-29
10689,832,304,319,-15
10690,2751,1160,1181,-21
10691,1844,756,790,-34
10692,689,357,365,-8
10693,1168,505,528,-23
10694,723,291,294,-3
10695,2053,773,799,-26
10696,2551,989,1010,-21
10697,724,289,307,-18
10698,885,378,381,-3
10699,4757,1792,1831,-39
10700,847,352,362,-10
10701,749,304,309,-5
10702,1709,670,677,-7
10703,12000,4573,4728,-155
10704,2124,987,1013,-26
10705,2261,961,988,-27
10706,665,301,303,-2
10707,1179,461,479,-18
10708,2403,1120,1146,-26
10709,6658,2729,2824,-95
10710,633,238,261,-23
10711,1108,431,446,-15
10712,895,381,388,-7
10713,1765,961,1009,-48
10714,1493,596,625,-29
10715,5224,1963,1996,-33
10716,1972,922,969,-47
10717,2557,1041,1064,-23
10718,1231,483,505,-22
10719,1267,487,496,-9
10720,698,256,265,-9
10721,355,155,158,-3
10722,480,199,207,-8
10723,2252,953,980,-27
10724,1110,453,464,-11
10725,6382,2597,2657,-60
10726,5175,1933,1981,-48
10727,857,437,452,-15
10728,1233,491,507,-16
10729,984,499,516,-17
10730,1005,372,385,-13
10731,1458,598,609,-11
10732,1768,772,788,-16
10733,16237,6298,6543,-245
10734,2050,796,807,-11
10735,2289,865,875,-10
10736,1074,641,637,4
10737,3994,1698,1743,-45
10738,3590,1502,1552,-50
10739,3516,1416,1471,-55
10740,5934,2438,2484,-46
10741,1935,765,793,-28
10742,746,341,353,-12
10743,5539,2852,2890,-38
10744,1681,721,749,-28
10745,3946,1451,1507,-56
10746,502,213,217,-4
10747,3616,1604,1657,-53
10748,419,227,237,-10
10749,521,256,256,0
10750,4900,1957,1985,-28
10751,4994,2035,2137,-102
10752,1903,700,718,-18
10753,5690,2010,2097,-87
10754,247,113,119,-6
10755,1834,691,725,-34
10756,2030,814,841,-27
10757,2144,1077,1123,-46
10758,3377,1316,1360,-44
10759,791,311,315,-4
10760,1460,559,575,-16
10761,1406,538,557,-19
10762,3376,1517,1539,-22
10763,2072,875,893,-18
10764,4415,1750,1790,-40
10765,543,201,213,-12
10766,1636,680,727,-47
10767,293,114,118,-4
10768,1907,742,727,15
10769,807,394,423,-29
10770,5686,2288,2373,-85
10771,1603,716,758,-42
10772,2667,1028,1059,-31
10773,1002,384,394,-10
10774,2320,896,933,-37
10775,3815,1663,1695,-32
10776,1751,676,698,-22
10777,8523,3178,3285,-107
10778,2242,918,927,-9
